operator_id,missed_count,total_incoming,missed_rate,avg_waiting_time,outgoing_count,ineffective_missed,ineffective_wait,ineffective_out,score_inefficacy,is_ineffective
903390,0.0,7.0,0.0,20.285714285714285,0.0,False,False,True,1,True
903512,0.0,17.0,0.0,70.0,0.0,False,True,True,2,True
903974,0.0,2.0,0.0,83.5,0.0,False,True,True,2,True
903976,0.0,2.0,0.0,21.0,0.0,False,False,True,1,True
904016,2.0,26.0,0.07692307692307693,35.61538461538461,94.0,True,False,False,1,True
904038,2.0,78.0,0.02564102564102564,52.65384615384615,89.0,True,True,False,2,True
904044,1.0,42.0,0.023809523809523808,46.857142857142854,18.0,True,True,False,2,True
904058,0.0,17.0,0.0,18.294117647058822,0.0,False,False,True,1,True
904284,0.0,29.0,0.0,25.103448275862068,0.0,False,False,True,1,True
904344,1.0,2.0,0.5,27.5,1.0,True,False,False,1,True
904372,0.0,2.0,0.0,34.0,0.0,False,False,True,1,True
905082,0.0,1.0,0.0,34.0,0.0,False,False,True,1,True
905104,6.0,63.0,0.09523809523809523,81.12698412698413,79.0,True,True,False,2,True
905300,2.0,16.0,0.125,34.5,0.0,True,False,True,2,True
905430,1.0,16.0,0.0625,41.625,34.0,True,False,False,1,True
905478,0.0,1.0,0.0,36.0,0.0,False,False,True,1,True
905538,2.0,54.0,0.037037037037037035,79.51851851851852,191.0,True,True,False,2,True
905542,3.0,50.0,0.06,43.1,161.0,True,True,False,2,True
905564,1.0,31.0,0.03225806451612903,45.45161290322581,169.0,True,True,False,2,True
905566,1.0,23.0,0.043478260869565216,31.08695652173913,170.0,True,False,False,1,True
905842,0.0,2.0,0.0,115.5,117.0,False,True,False,1,True
905862,3.0,37.0,0.08108108108108109,31.486486486486488,1.0,True,False,False,1,True
905870,0.0,31.0,0.0,54.54838709677419,43.0,False,True,False,1,True
906070,2.0,15.0,0.13333333333333333,889.8,22.0,True,True,False,2,True
906076,0.0,2.0,0.0,611.5,1.0,False,True,False,1,True
906294,1.0,50.0,0.02,29.1,120.0,True,False,False,1,True
906392,2.0,7.0,0.2857142857142857,35.57142857142857,23.0,True,False,False,1,True
906394,0.0,19.0,0.0,45.1578947368421,104.0,False,True,False,1,True
906396,3.0,34.0,0.08823529411764706,111.08823529411765,92.0,True,True,False,2,True
906398,0.0,28.0,0.0,56.67857142857143,28.0,False,True,False,1,True
906400,3.0,40.0,0.075,93.8,112.0,True,True,False,2,True
906402,0.0,6.0,0.0,54.0,11.0,False,True,False,1,True
906404,6.0,43.0,0.13953488372093023,315.3255813953488,111.0,True,True,False,2,True
906406,3.0,46.0,0.06521739130434782,416.1521739130435,157.0,True,True,False,2,True
906408,4.0,28.0,0.14285714285714285,246.85714285714286,33.0,True,True,False,2,True
906410,5.0,34.0,0.14705882352941177,177.5,13.0,True,True,False,2,True
906412,2.0,15.0,0.13333333333333333,26.666666666666668,75.0,True,False,False,1,True
906680,2.0,57.0,0.03508771929824561,126.78947368421052,65.0,True,True,False,2,True
907174,0.0,8.0,0.0,69.625,107.0,False,True,False,1,True
907224,0.0,22.0,0.0,52.27272727272727,124.0,False,True,False,1,True
907502,2.0,60.0,0.03333333333333333,80.91666666666667,0.0,True,True,True,3,True
907618,0.0,1.0,0.0,35.0,0.0,False,False,True,1,True
907952,2.0,36.0,0.05555555555555555,29.083333333333332,73.0,True,False,False,1,True
907974,0.0,3.0,0.0,9.666666666666666,0.0,False,False,True,1,True
907982,1.0,35.0,0.02857142857142857,40.8,48.0,True,False,False,1,True
908098,0.0,3.0,0.0,52.666666666666664,0.0,False,True,True,2,True
908130,0.0,3.0,0.0,28.333333333333332,0.0,False,False,True,1,True
908152,0.0,9.0,0.0,58.0,0.0,False,True,True,2,True
908162,0.0,2.0,0.0,79.5,0.0,False,True,True,2,True
908180,0.0,1.0,0.0,15.0,0.0,False,False,True,1,True
908300,0.0,2.0,0.0,84.5,0.0,False,True,True,2,True
908834,0.0,4.0,0.0,195.25,1.0,False,True,False,1,True
908958,3.0,94.0,0.031914893617021274,277.25531914893617,49.0,True,True,False,2,True
908960,8.0,108.0,0.07407407407407407,150.59259259259258,51.0,True,True,False,2,True
909134,1.0,65.0,0.015384615384615385,106.75384615384615,5.0,True,True,False,2,True
909392,0.0,5.0,0.0,26.0,0.0,False,False,True,1,True
909624,0.0,2.0,0.0,50.5,0.0,False,True,True,2,True
909768,0.0,14.0,0.0,42.0,0.0,False,False,True,1,True
909894,0.0,1.0,0.0,13.0,0.0,False,False,True,1,True
909896,0.0,1.0,0.0,9.0,0.0,False,False,True,1,True
910018,0.0,50.0,0.0,58.24,0.0,False,True,True,2,True
910038,0.0,2.0,0.0,15.0,0.0,False,False,True,1,True
910044,0.0,10.0,0.0,28.2,0.0,False,False,True,1,True
910224,0.0,8.0,0.0,19.125,0.0,False,False,True,1,True
910226,2.0,8.0,0.25,16.5,0.0,True,False,True,2,True
910516,0.0,22.0,0.0,31.863636363636363,0.0,False,False,True,1,True
910540,1.0,58.0,0.017241379310344827,55.3448275862069,0.0,True,True,True,3,True
910958,0.0,10.0,0.0,70.9,0.0,False,True,True,2,True
911102,3.0,20.0,0.15,41.1,0.0,True,False,True,2,True
911104,0.0,1.0,0.0,13.0,0.0,False,False,True,1,True
911136,1.0,46.0,0.021739130434782608,91.95652173913044,0.0,True,True,True,3,True
911138,3.0,56.0,0.05357142857142857,101.60714285714286,0.0,True,True,True,3,True
911140,2.0,33.0,0.06060606060606061,55.75757575757576,0.0,True,True,True,3,True
911142,2.0,14.0,0.14285714285714285,65.92857142857143,0.0,True,True,True,3,True
911152,0.0,1.0,0.0,43.0,0.0,False,False,True,1,True
911214,0.0,2.0,0.0,18.0,0.0,False,False,True,1,True
911310,2.0,55.0,0.03636363636363636,100.07272727272728,35.0,True,True,False,2,True
912010,2.0,52.0,0.038461538461538464,49.94230769230769,0.0,True,True,True,3,True
912296,3.0,47.0,0.06382978723404255,42.57446808510638,76.0,True,False,False,1,True
912684,1.0,16.0,0.0625,59.875,0.0,True,True,True,3,True
913474,0.0,1.0,0.0,74.0,3.0,False,True,False,1,True
913780,0.0,3.0,0.0,29.666666666666668,0.0,False,False,True,1,True
913788,2.0,66.0,0.030303030303030304,192.0151515151515,108.0,True,True,False,2,True
913868,0.0,1.0,0.0,48.0,3.0,False,True,False,1,True
913886,1.0,2.0,0.5,13.5,0.0,True,False,True,2,True
913938,13.0,77.0,0.16883116883116883,526.974025974026,71.0,True,True,False,2,True
913942,28.0,85.0,0.32941176470588235,347.91764705882355,50.0,True,True,False,2,True
914172,0.0,2.0,0.0,34.5,0.0,False,False,True,1,True
914440,1.0,19.0,0.05263157894736842,30.157894736842106,1.0,True,False,False,1,True
914842,0.0,6.0,0.0,18.833333333333332,0.0,False,False,True,1,True
915556,3.0,61.0,0.04918032786885246,19.9672131147541,136.0,True,False,False,1,True
915614,0.0,1.0,0.0,56.0,17.0,False,True,False,1,True
916424,3.0,35.0,0.08571428571428572,118.85714285714286,41.0,True,True,False,2,True
917252,0.0,3.0,0.0,83.0,9.0,False,True,False,1,True
917680,0.0,2.0,0.0,100.0,13.0,False,True,False,1,True
917850,1.0,48.0,0.020833333333333332,58.645833333333336,75.0,True,True,False,2,True
917852,1.0,47.0,0.02127659574468085,151.7872340425532,100.0,True,True,False,2,True
918436,1.0,20.0,0.05,31.6,26.0,True,False,False,1,True
918888,1.0,8.0,0.125,9.375,3.0,True,False,False,1,True
918978,4.0,44.0,0.09090909090909091,166.9318181818182,89.0,True,True,False,2,True
918986,0.0,40.0,0.0,137.125,90.0,False,True,False,1,True
919164,3.0,14.0,0.21428571428571427,287.35714285714283,8.0,True,True,False,2,True
919166,4.0,14.0,0.2857142857142857,401.7142857142857,10.0,True,True,False,2,True
919204,5.0,17.0,0.29411764705882354,550.9411764705883,7.0,True,True,False,2,True
919206,7.0,19.0,0.3684210526315789,388.05263157894734,1.0,True,True,False,2,True
919214,0.0,10.0,0.0,51.1,1.0,False,True,False,1,True
919218,1.0,10.0,0.1,28.3,36.0,True,False,False,1,True
919552,1.0,66.0,0.015151515151515152,561.7575757575758,40.0,True,True,False,2,True
919554,11.0,76.0,0.14473684210526316,503.1578947368421,8.0,True,True,False,2,True
919790,0.0,61.0,0.0,866.8032786885246,13.0,False,True,False,1,True
919792,1.0,57.0,0.017543859649122806,397.2280701754386,38.0,True,True,False,2,True
919794,1.0,32.0,0.03125,1007.375,10.0,True,True,False,2,True
919896,1.0,4.0,0.25,17.5,0.0,True,False,True,2,True
919956,0.0,12.0,0.0,10.75,0.0,False,False,True,1,True
919958,0.0,1.0,0.0,35.0,0.0,False,False,True,1,True
919994,0.0,12.0,0.0,69.5,0.0,False,True,True,2,True
920666,1.0,41.0,0.024390243902439025,39.707317073170735,59.0,True,False,False,1,True
920706,3.0,27.0,0.1111111111111111,60.22222222222222,43.0,True,True,False,2,True
920720,0.0,35.0,0.0,50.714285714285715,60.0,False,True,False,1,True
920726,1.0,22.0,0.045454545454545456,38.45454545454545,28.0,True,False,False,1,True
920728,3.0,37.0,0.08108108108108109,87.97297297297297,36.0,True,True,False,2,True
920732,0.0,24.0,0.0,68.83333333333333,38.0,False,True,False,1,True
920852,2.0,40.0,0.05,52.075,61.0,True,True,False,2,True
920874,0.0,19.0,0.0,48.05263157894737,0.0,False,True,True,2,True
920902,1.0,24.0,0.041666666666666664,88.58333333333333,9.0,True,True,False,2,True
920930,0.0,1.0,0.0,62.0,0.0,False,True,True,2,True
920982,0.0,27.0,0.0,48.22222222222222,0.0,False,True,True,2,True
921306,4.0,47.0,0.0851063829787234,179.08510638297872,79.0,True,True,False,2,True
921318,6.0,55.0,0.10909090909090909,615.4181818181818,96.0,True,True,False,2,True
